event_commit	path	blob_sha256	ordered_or_dependent	scope_anchor	acceptance_or_test	classification
5ba55df16333194623b70654889c4ef72e553cdd	nextsteps-2026-07-30-round1-parallel-delta-waves.md	0f42426270447cbdee99e9cede12d2cae5e1982258b0705e8e4f11d9da04627a	Y	Y	Y	planning_artifact
5ba55df16333194623b70654889c4ef72e553cdd	nextsteps-2026-07-31-rust-mm48-conductor.md	f992bb9e02ca837eabba2df2fb0b2bd48072f9cc7afcee1d8561454f714c2b5e	Y	Y	Y	planning_artifact
5ba55df16333194623b70654889c4ef72e553cdd	nextsteps-2026-07-31-worktree-v1-og-run-fresh-review.md	23dd802ce8641d19b99ad8341b1608ca35f2df5dbc0360f6f56f2acefa78269f	Y	Y	Y	planning_artifact
5ba55df16333194623b70654889c4ef72e553cdd	nextsteps-2026-08-03-cost-per-solve-metrics.md	3bfac7851d81b1e5b4a98ddee63a5b69e486d61c35a67cb589eb7f42019d46d2	Y	Y	Y	planning_artifact
5ba55df16333194623b70654889c4ef72e553cdd	nextsteps-2026-08-03-db6ae-mechanics-door.md	003d7681cc39b4a78ad3f9a6215bd5a841f2653db7c15c1a930fc0f58d46c20d	Y	Y	Y	planning_artifact
5ba55df16333194623b70654889c4ef72e553cdd	nextsteps-2026-08-03-round1-snap-problems.md	3af3b8649741ed4e6c7fc4101bfb6fb6f00b6230d0224350bfc9e3966b6984a2	Y	Y	Y	planning_artifact
5ba55df16333194623b70654889c4ef72e553cdd	nextsteps-2026-08-04-databricks-installer-stop.md	2c229b16f410ec955ea0b2b32cae5322a36cf06cc9f5a374c94430f03cba2b01	Y	Y	Y	planning_artifact
5ba55df16333194623b70654889c4ef72e553cdd	status/2026-07-31-beads-status-github-mcp-snap-bridge-snap-wings.md	528286c8175c9ee80d864a4ca524e8985f65de3bbab77c631d45347c5e5e4ef3	N	N	N	status_activity_cookie_state
5ba55df16333194623b70654889c4ef72e553cdd	status/2026-08-01-beads-status-github-mcp-snap-bridge-snap-wings.md	350cfde2a19e2fd86ff744f2cfbda88f26fbe01534f15d504e0ecc0cd0d4b1cc	N	N	N	status_activity_cookie_state
5ba55df16333194623b70654889c4ef72e553cdd	status/2026-08-02-beads-status-github-mcp-snap-bridge-snap-wings.md	c57ddb0b8eef00cb3bf165c0d149835aed5afe7da964338317eecb66a26d5ed3	N	N	N	status_activity_cookie_state
5ba55df16333194623b70654889c4ef72e553cdd	status/2026-08-03-beads-status-github-mcp-snap-bridge-snap-wings.md	248424f5e03bed11ad61ad25e5b8426a9b047e62c6a491239c0d3a91115b55bf	N	N	N	status_activity_cookie_state
5ba55df16333194623b70654889c4ef72e553cdd	status/2026-08-04-beads-status-github-mcp-snap-bridge-snap-wings.md	0045e68027f6bbf25d684aa6aff1b8052ee906f643109e2765d8365bb1e50d52	N	N	N	status_activity_cookie_state
88179904cb9685879d2774243e5cbb25097a4914	activity/2026-08-04.md	bd6f7329248185636d72074f9c7bba66c32640c18f9ec38f0d23f567bb9b8f61	N	N	N	status_activity_cookie_state
418b8cc0ea7245f33922f7ff26a60ef5634d8122	2026-08-04-llm-router-pilot-northstar-goal-ironclad.md	af2f41d7f858ab306f092d9bc79fa135a8e74cbafce9a0ce1048574b92e0c6f2	Y	Y	Y	planning_artifact
71e36722fc85e419ae8e5a7b5650e6dc2a43919b	2026-08-04-snap-bench-week-postmortem.md	2ba70a4b23bdad768288b137d5c2116631ffd451152e1cfa2f127cf0914b9f4b	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	nextsteps-2026-08-04-v2light-admission-decoupling.md	5f1ab80ec00fd29a459b966b907da657de764a7f2216b493e242deced0027e59	Y	Y	Y	planning_artifact
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/01-llm-router-pilot.md	75e085985179b56d8df8f80f59bf0f0539875cdaf44a99e951de41c5bfa8681c	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/02-v148-mm48.md	16a3e92b4bd0987dfb6811887457b353109b6bf148dc5e64ca3d8eeb57aa9bf1	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/03-snap-evo-harness-core.md	4afe97771a18f2a1487f333f02ea7a9c107f5325e2438f8d498801228a46732e	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/04-governance-process.md	fe5332cb49eb2f4474d056787a8c336d57144403378c339d33ddbeac2827e03f	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/05-v2light.md	3b10b92dd035ae762ac2c26673b063862535eef3e87cb0576c82ca5d8d070812	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/06-round1.md	9daf6e71ddbb888f213c573fb77f8264e139440f759077e00941284987c0dbb3	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/07-adversarial-alt-cause.md	98b93b785a06f5d0eb220a5afdce530cb44bbd5c884f1dda3b0dafb8f14c4f4d	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/08-adversarial-counterfactual.md	8f4c285d30b3be6ecb4caeb73438e62bd74107b717ef432005b24d0ca20b2faa	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/09-adversarial-defend-the-week.md	28c402a9d75ec603b581961d32f45ac7fb3cf2673515c8a1bb4694d6db91117e	N	N	N	postmortem
6f01debd981f35712632ea29da9dcf2e9e7b5b75	postmortem-2026-08-04-snapbench-week/README.md	257e0f1cd11bbe402a027435386a5dd3fc618a3f51c4958a6491f5070057c008	N	N	N	postmortem
